"Main Device","Site","External service type","Company","Trade-in code","Additional Info","Device trade-in amount","Enhanced trade-in discount"
"SM-G990BLVWEUB","de","null","null","null","null","null","null"
"SM-G990BZAWEUB","de","null","null","null","null","null","null"
"SM-G990BLVFEUB","de","null","null","null","null","null","null"
"SM-G990BZAFEUB","de","null","null","null","null","null","null"
"SM-G990BLGFEUB","de","null","null","null","null","null","null"
"SM-G990BLGWEUB","de","null","null","null","null","null","null"
"SM-G990BZWWEUB","de","null","null","null","null","null","null"
"SM-G990BZWFEUB","de","null","null","null","null","null","null"
"EF-ZG996","de","null","null","null","null","null","null"
"SM-G998BZTGEUB","de","null","null","null","null","null","null"
"SM-G998BZSGEUB","de","null","null","null","null","null","null"
"SM-G998BZSDEUB","de","null","null","null","null","null","null"
"ET-SFR92","de","null","null","null","null","null","null"
"ET-SFR92L","de","null","null","null","null","null","null"
"SM-S901BZKDEUB","de","null","null","null","null","null","null"
"SM-S901BZGDEUB","de","null","null","null","null","null","null"
"SM-S901BLVGEUB","de","null","null","null","null","null","null"
"SM-S901BIDGEUB","de","null","null","null","null","null","null"
"SM-S901BZWDEUB","de","null","null","null","null","null","null"
"SM-S901BZWGEUB","de","null","null","null","null","null","null"
"SM-S901BZKGEUB","de","null","null","null","null","null","null"
"SM-S901BIDDEUB","de","null","null","null","null","null","null"
"SM-S901BZGGEUB","de","null","null","null","null","null","null"
"SM-S901BLVDEUB","de","null","null","null","null","null","null"
"VG-SCFA75","de","null","null","null","null","null","null"
"SM-S901BZAGEUB","de","null","null","null","null","null","null"
"SM-S901BLBDEUB","de","null","null","null","null","null","null"
"SM-S901BZVDEUB","de","null","null","null","null","null","null"
"SM-S901BZADEUB","de","null","null","null","null","null","null"
"SM-S901BZEDEUB","de","null","null","null","null","null","null"
"SM-S901BZVGEUB","de","null","null","null","null","null","null"
"SM-S901BZEGEUB","de","null","null","null","null","null","null"
"SM-S901BLBGEUB","de","null","null","null","null","null","null"
"SM-S908BZWHEUB","de","null","null","null","null","null","null"
"SM-S908BDRDEUB","de","null","null","null","null","null","null"
"SM-S908BZGDEUB","de","null","null","null","null","null","null"
"SM-S908BZGPEUB","de","null","null","null","null","null","null"
"SM-S908BZKHEUB","de","null","null","null","null","null","null"
"SM-S908BZKPEUB","de","null","null","null","null","null","null"
"SM-S908BZWPEUB","de","null","null","null","null","null","null"
"SM-S908BDRGEUB","de","null","null","null","null","null","null"
"SM-S908BDRHEUB","de","null","null","null","null","null","null"
"SM-S908BZWGEUB","de","null","null","null","null","null","null"
"SM-S908BZKDEUB","de","null","null","null","null","null","null"
"SM-S908BZGHEUB","de","null","null","null","null","null","null"
"SM-S908BZKGEUB","de","null","null","null","null","null","null"
"SM-S908BDRPEUB","de","null","null","null","null","null","null"
"SM-S908BZWDEUB","de","null","null","null","null","null","null"
"SM-S908BZGGEUB","de","null","null","null","null","null","null"
"SM-R910N","de","null","null","null","null","null","null"
"SM-S908BZAGEUB","de","null","null","null","null","null","null"
"SM-S908BZRGEUB","de","null","null","null","null","null","null"
"SM-S908BLBDEUB","de","null","null","null","null","null","null"
"SM-S908BZAPEUB","de","null","null","null","null","null","null"
"SM-S908BLBHEUB","de","null","null","null","null","null","null"
"SM-S908BZAHEUB","de","null","null","null","null","null","null"
"SM-S908BZADEUB","de","null","null","null","null","null","null"
"SM-S908BZRHEUB","de","null","null","null","null","null","null"
"SM-S908BZRDEUB","de","null","null","null","null","null","null"
"SM-S908BLBGEUB","de","null","null","null","null","null","null"
"SM-S908BZRPEUB","de","null","null","null","null","null","null"
"EP-P3105","de","null","null","null","null","null","null"
"SM-S906BZADEUB","de","null","null","null","null","null","null"
"SM-S906BLBGEUB","de","null","null","null","null","null","null"
"SM-S906BZVGEUB","de","null","null","null","null","null","null"
"SM-S906BZAGEUB","de","null","null","null","null","null","null"
"SM-S906BZEDEUB","de","null","null","null","null","null","null"
"SM-S906BZEGEUB","de","null","null","null","null","null","null"
"SM-S906BZVDEUB","de","null","null","null","null","null","null"
"SM-S906BLBDEUB","de","null","null","null","null","null","null"
"RH68B852","de","null","null","null","null","null","null"
